1/36. Count of epochs: 10; batch size: 50; learning rate: 0.02000...
Epoch 671/1000... Training accuracy.: 0.95725; testing accuracy.: 0.93000
Training loss: 1.50458; testing loss: 1.52922;
-------------------------------------------------------------------------------------------
Epoch 672/1000... Training accuracy.: 0.95727; testing accuracy.: 0.91000
Training loss: 1.50458; testing loss: 1.54578;
-------------------------------------------------------------------------------------------
Epoch 673/1000... Training accuracy.: 0.95727; testing accuracy.: 0.93000
Training loss: 1.50458; testing loss: 1.53277;
-------------------------------------------------------------------------------------------
Epoch 674/1000... Training accuracy.: 0.95727; testing accuracy.: 0.93500
Training loss: 1.50458; testing loss: 1.52700;
-------------------------------------------------------------------------------------------
Epoch 675/1000... Training accuracy.: 0.95727; testing accuracy.: 0.94000
Training loss: 1.50458; testing loss: 1.52080;
-------------------------------------------------------------------------------------------
Epoch 676/1000... Training accuracy.: 0.95727; testing accuracy.: 0.94500
Training loss: 1.50458; testing loss: 1.51367;
-------------------------------------------------------------------------------------------
Epoch 677/1000... Training accuracy.: 0.95725; testing accuracy.: 0.90000
Training loss: 1.50457; testing loss: 1.56137;
-------------------------------------------------------------------------------------------
Epoch 678/1000... Training accuracy.: 0.95727; testing accuracy.: 0.95000
Training loss: 1.50457; testing loss: 1.51492;
-------------------------------------------------------------------------------------------
Epoch 679/1000... Training accuracy.: 0.95727; testing accuracy.: 0.92500
Training loss: 1.50456; testing loss: 1.53651;
-------------------------------------------------------------------------------------------
Epoch 680/1000... Training accuracy.: 0.95727; testing accuracy.: 0.95500
Training loss: 1.50457; testing loss: 1.50886;
-------------------------------------------------------------------------------------------
Epoch 681/1000... Training accuracy.: 0.95727; testing accuracy.: 0.93500
Training loss: 1.50457; testing loss: 1.52453;
-------------------------------------------------------------------------------------------
Epoch 682/1000... Training accuracy.: 0.95727; testing accuracy.: 0.92500
Training loss: 1.50456; testing loss: 1.53809;
-------------------------------------------------------------------------------------------
Epoch 683/1000... Training accuracy.: 0.95727; testing accuracy.: 0.95000
Training loss: 1.50456; testing loss: 1.51429;
-------------------------------------------------------------------------------------------
Epoch 684/1000... Training accuracy.: 0.95727; testing accuracy.: 0.93000
Training loss: 1.50456; testing loss: 1.53238;
-------------------------------------------------------------------------------------------
Epoch 685/1000... Training accuracy.: 0.95728; testing accuracy.: 0.96000
Training loss: 1.50455; testing loss: 1.50291;
-------------------------------------------------------------------------------------------
Epoch 686/1000... Training accuracy.: 0.95727; testing accuracy.: 0.92500
Training loss: 1.50455; testing loss: 1.53438;
-------------------------------------------------------------------------------------------
Epoch 687/1000... Training accuracy.: 0.95728; testing accuracy.: 0.94000
Training loss: 1.50455; testing loss: 1.52178;
-------------------------------------------------------------------------------------------
Epoch 688/1000... Training accuracy.: 0.95728; testing accuracy.: 0.91500
Training loss: 1.50454; testing loss: 1.54821;
-------------------------------------------------------------------------------------------
Epoch 689/1000... Training accuracy.: 0.95728; testing accuracy.: 0.95500
Training loss: 1.50454; testing loss: 1.50578;
-------------------------------------------------------------------------------------------
Epoch 690/1000... Training accuracy.: 0.95728; testing accuracy.: 0.94500
Training loss: 1.50454; testing loss: 1.51456;
-------------------------------------------------------------------------------------------
Epoch 691/1000... Training accuracy.: 0.95728; testing accuracy.: 0.91000
Training loss: 1.50454; testing loss: 1.54520;
-------------------------------------------------------------------------------------------
Epoch 692/1000... Training accuracy.: 0.95728; testing accuracy.: 0.95000
Training loss: 1.50454; testing loss: 1.51383;
-------------------------------------------------------------------------------------------
Epoch 693/1000... Training accuracy.: 0.95728; testing accuracy.: 0.96000
Training loss: 1.50454; testing loss: 1.50380;
-------------------------------------------------------------------------------------------
Epoch 694/1000... Training accuracy.: 0.95727; testing accuracy.: 0.93500
Training loss: 1.50453; testing loss: 1.52753;
-------------------------------------------------------------------------------------------
Epoch 695/1000... Training accuracy.: 0.95728; testing accuracy.: 0.92500
Training loss: 1.50453; testing loss: 1.53372;
-------------------------------------------------------------------------------------------
Epoch 696/1000... Training accuracy.: 0.95730; testing accuracy.: 0.90500
Training loss: 1.50452; testing loss: 1.55785;
-------------------------------------------------------------------------------------------
Epoch 697/1000... Training accuracy.: 0.95730; testing accuracy.: 0.89500
Training loss: 1.50453; testing loss: 1.56405;
-------------------------------------------------------------------------------------------
Epoch 698/1000... Training accuracy.: 0.95730; testing accuracy.: 0.94000
Training loss: 1.50453; testing loss: 1.51887;
-------------------------------------------------------------------------------------------
Epoch 699/1000... Training accuracy.: 0.95730; testing accuracy.: 0.93000
Training loss: 1.50452; testing loss: 1.52821;
-------------------------------------------------------------------------------------------
Epoch 700/1000... Training accuracy.: 0.95730; testing accuracy.: 0.91500
